-per-cpu-usage- --system- -----frequency-----
 0   1   2   3 |   time  |cpu0 cpu1 cpu2 cpu3
  8   8   8   8|44:03.870|  59   49   55   75
  0  10   0   0|44:03.970|  34   35   34   35
  0   9   0   0|44:04.070|  32   32   32   32
  0   0   0   0|44:04.170|  32   32   32   32
  0   9   0   0|44:04.270|  32   32   32   32
  0   0   9   0|44:04.370|  32   32   32   32
  0   0   0   0|44:04.470|  31   32   32   32
 40   9  10   0|44:04.570|  32   33   33   33
  9  10   0   0|44:04.670|  33   33   32   33
  0   0   0   0|44:04.770|  32   32   32   32
 11  10  55  10|44:04.870|  77   57   92   54
 10   9  89   0|44:04.970| 100   97  100   91
 20  11 100  27|44:05.070| 100   99  100   98
  9   0 100   0|44:05.170| 100   94  100   97
  0   9 100  10|44:05.270| 100   97  100   97
  0  18 100   0|44:05.370| 100   97  100   94
100   0  10   0|44:05.470| 100   96  100   96
 45  10  60  17|44:05.570| 100   97  100   97
  0  10 100   0|44:05.670| 100   96  100   96
  0   9 100  10|44:05.770| 100   96  100   98
 10   0 100   0|44:05.870| 100   96  100   97
  9  25 100   0|44:05.970| 100   97  100   96
 11   0  89   0|44:06.070| 100   95  100   96
 10  20 100  10|44:06.170| 100   98  100   98
 60  64 100  36|44:06.270| 100   99  100   99
 33  20 100  30|44:06.370| 100   95  100   95
  0  10 100   0|44:06.470| 100   91  100   93
  9   0 100  10|44:06.570| 100   94  100   95
 10  10 100   0|44:06.670| 100   93  100   94
  0   9 100   0|44:06.770| 100   94  100   93
  0  10 100   9|44:06.870| 100   98  100   95
  0  10 100   0|44:06.970| 100   95  100   93
  0  10 100  18|44:07.070| 100   98  100   97
 11  18 100  30|44:07.170| 100   99  100   99
 18  50 100  36|44:07.270| 100   99  100   98
 30  10 100   9|44:07.370| 100   96  100   96
 10  10 100   0|44:07.470| 100   94  100   92
  0   0 100   0|44:07.570| 100   96  100   97
  0   9 100  10|44:07.670| 100   99  100   97
  0   0 100   9|44:07.770| 100   96  100   95
 18   0 100  10|44:07.870| 100   99  100   98
  0   9 100   0|44:07.970| 100   93  100   90
 11  10 100   0|44:08.070| 100   97  100   92
  9   0 100   0|44:08.170| 100   93  100   77
 11  10 100  10|44:08.270| 100   90  100   87
 20  10 100   9|44:08.370| 100   97  100   92
 20   0 100   0|44:08.470| 100   95  100   96
 20  10 100   0|44:08.570| 100   97  100   97
 20  10 100   0|44:08.670| 100   96  100   92
 30  10 100   0|44:08.770| 100   98  100   96
  9  10 100  30|44:08.870| 100   99  100   99
 22  10 100   0|44:08.970| 100   97  100   96
 22  60 100  55|44:09.070| 100  100  100  100
 73  70  89  70|44:09.170| 100  100  100  100
 44   0 100  20|44:09.270| 100   93  100   98
  9   0 100   0|44:09.370| 100   98  100   93
  0   0 100   0|44:09.470| 100   97  100   82
  0   0 100   0|44:09.570| 100   95  100   99
 10  25 100  20|44:09.670| 100  100  100  100
  0   0 100   0|44:09.770| 100   98  100   92
  0   0 100   0|44:09.870| 100   97  100   95
  0   0 100   0|44:09.970| 100   91  100   96
  0   0 100   0|44:10.070| 100   98  100  100
  9   0 100   0|44:10.170| 100   98  100   97
  0   0 100   0|44:10.270| 100   97  100   91
 20  11 100  20|44:10.370| 100   98  100   95
 27   9  82   9|44:10.470|  99   94   99   93
 45   0 100   0|44:10.570|  98   92   98   88
  0   0 100   0|44:10.670|  98  100   98   98
 90  90 100  89|44:10.770|  97   97   97   97
100 100 100 100|44:10.870|  97   97   97   97
100 100 100 100|44:10.970|  97   96   97   96
100 100 100 100|44:11.070|  97   96   97   96
100 100 100 100|44:11.170|  97   96   97   96
100 100 100 100|44:11.270|  97   96   97   96
100 100 100 100|44:11.370|  97   96   97   96
 90 100 100 100|44:11.470|  97   96   97   96
 82  90  80 100|44:11.570|  96   96   96   96
100 100 100 100|44:11.670|  96   96   96   96
100 100 100 100|44:11.770|  96   97   96   97
100 100 100 100|44:11.870|  97   96   97   96
100 100 100 100|44:11.970|  96   97   96   97
100 100 100 100|44:12.070|  96   96   96   96
100 100 100 100|44:12.170|  97   97   97   97
100  11 100  70|44:12.270|  97   98   97   97
100  90 100 100|44:12.370|  97   97   97   97
100 100 100 100|44:12.470|  97   97   97   97
100 100 100 100|44:12.570|  97   97   97   97
100 100 100 100|44:12.670|  97   96   97   96
100 100 100 100|44:12.770|  96   96   96   96
100 100 100 100|44:12.870|  96   96   96   96
100 100 100 100|44:12.970|  96   96   96   96
100 100 100 100|44:13.070|  96   96   96   96
 18  10  73   9|44:13.170|  95   86   98   95
  0  10   0   0|44:13.270|  35   35   34   35
  0   0  10   0|44:13.370|  33   33   32   32
 64  10  33  10|44:13.470|  95   89  100   86
 18   0  80   0|44:13.570| 100   98  100   99
  0  18  33  10|44:13.670|  45   47   70   48
  0   0   0   0|44:13.770|  35   35   33   34
 20  30  20  20|44:13.870|  36   33   33   34
  0   0   0   0|44:13.970|  34   33   35   34
  9  20   9   0|44:14.070|  36   36   35   36
 10   0   0   9|44:14.170|  35   35   35   35
  0  10   0   0|44:14.270|  35   35   36   36
 17   0   0  11|44:14.370|  36   37   36   37
 10   9   0   0|44:14.470|  34   36   36   35
 10  10  18   0|44:14.570|  36   36   36   36
 18  18  20  10|44:14.670|  32   33   33   33
  0  10  11   0|44:14.770|  34   33   34   33
 10   0  18   0|44:14.870|  37   36   37   36
